#
#      RegulonDB is free for academic/noncommercial use 
# 
#      User is not entitled to change or erase data sets of the RegulonDB 
#      database or to eliminate copyright notices from RegulonDB. Furthermore, 
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly 
#      or as a whole into other databank systems, without prior written consent 
#      from CCG-UNAM. 
# 
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp 
# 
# Citation 
# 
#      Gama-Castro S. et al. (2016). "RegulonDB version 9.0: high-level integration of gene regulation, coexpression, motif clustering and beyond". 
#      Nucleic Acids Res. 2016 Jan 4;44(D1):D133-43. doi: 10.1093/nar/gkv1156. Epub 2015 Nov 2. 
# 
# 
# Contact 
# 
#      Person: RegulonDB Team 
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp 
#          (regulondb@ccg.unam.mx) 
# 
#

# Release: 9.1 Date: 04-07-2016
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) name
#  (2) TUName (regulated)
#  (3) Regulatory effect of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the regulatory interaction
#
AccB	accBC[accBp]	-	[null]	Weak	
GadW	gadAX[gadAp]	+-	[BPP, GEA, HIBSCS]	Strong	
GadW	gadBC[gadBp]	+-	[BPP, GEA, HIBSCS]	Strong	
GadW	gadE-mdtEF[gadEp]	+	[AIBSCS, GEA, HIBSCS]	Weak	
GadW	gadW[gadWp2]	-	[GEA]	Weak	
GadW	gadX[gadXp]	-	[GEA]	Weak	
GadW	gadXW[gadXp]	-	[GEA]	Weak	
GadW	gadY[gadYp]	-	[GEA]	Weak	
GadW	hdeAB-yhiD[hdeAp]	+-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
GadW	slp-dctR[slpp]	-	[AIBSCS, GEA, HIBSCS]	Weak	
GadX	asnB[asnBp]	+	[GEA]	Weak	
GadX	btuB-murI[btuBp]	-	[BPP, GEA, HIBSCS]	Strong	
GadX	cadBA[cadBp]	+	[GEA]	Weak	
GadX	gadAX[gadAp]	+	[BPP, GEA, HIBSCS]	Strong	
GadX	gadBC[gadBp]	+	[BPP, GEA, HIBSCS]	Strong	
GadX	gadE[gadEp3]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
GadX	gadE-mdtEF[gadEp]	+	[GEA, HIBSCS]	Weak	
GadX	gadW[gadWp2]	-	[GEA]	Weak	
GadX	gadX[gadXp]	+	[GEA]	Weak	
GadX	gadXW[gadXp]	+	[GEA]	Weak	
GadX	gadY[gadYp]	+	[GEA]	Weak	
GadX	glnK-amtB[glnKp]	+	[GEA]	Weak	
GadX	hdeAB-yhiD[hdeAp]	+-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
GadX	hdeD[hdeDp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
GadX	hns[hnsp]	+	[GEA]	Weak	
GadX	lon[lonp]	+	[GEA]	Weak	
GadX	rpoS[rpoSp]	+	[GEA]	Weak	
GadX	slp-dctR[slpp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
GadX	uspE[uspEp]	+	[GEA]	Weak	
GadX	ybaST[ybaSp]	+	[GEA]	Weak	
GalR	galE[galEp1]	-	[BPP, GEA, HIBSCS, SM]	Strong	
GalR	galE[galEp2]	+	[BPP, GEA, HIBSCS, SM]	Strong	
GalR	galET[galEp1]	-	[BPP, GEA, HIBSCS, SM]	Strong	
GalR	galET[galEp2]	+	[BPP, GEA, HIBSCS, SM]	Strong	
GalR	galETK[galEp1]	-	[BPP, GEA, HIBSCS, SM]	Strong	
GalR	galETK[galEp2]	+	[BPP, GEA, HIBSCS, SM]	Strong	
GalR	galETKM[galEp1]	-	[BPP, GEA, HIBSCS, SM]	Strong	
GalR	galETKM[galEp2]	+	[BPP, GEA, HIBSCS, SM]	Strong	
GalR	galP[galPp]	-	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
GalR	galR[galRp]	-	[BPP, GEA, HIBSCS]	Strong	
GalR	galS[galSp]	-	[GEA, HIBSCS]	Weak	
GalR	mglBAC[mglBp]	-	[GEA, HIBSCS]	Weak	
GalS	galE[galEp1]	-	[BPP, GEA, HIBSCS]	Strong	
GalS	galE[galEp2]	+	[BPP, GEA, HIBSCS]	Strong	
GalS	galET[galEp1]	-	[BPP, GEA, HIBSCS]	Strong	
GalS	galET[galEp2]	+	[BPP, GEA, HIBSCS]	Strong	
GalS	galETK[galEp1]	-	[BPP, GEA, HIBSCS]	Strong	
GalS	galETK[galEp2]	+	[BPP, GEA, HIBSCS]	Strong	
GalS	galETKM[galEp1]	-	[BPP, GEA, HIBSCS]	Strong	
GalS	galETKM[galEp2]	+	[BPP, GEA, HIBSCS]	Strong	
GalS	galP[galPp]	-	[AIBSCS, BPP, GEA, SM]	Weak	
GalS	galR[galRp]	-	[GEA, HIBSCS]	Weak	
GalS	galS[galSp]	-	[BCE, GEA]	Weak	
GalS	mglBAC[mglBp]	-	[GEA, HIBSCS]	Weak	
GatR	gatYZABCD[gatYp]	-	[GEA]	Weak	
GcvA	gcvA[gcvAp]	-	[AIBSCS, BCE, BPP, GEA, HIBSCS, IC, SM]	Weak	
GcvA	gcvB[gcvBp]	+	[AIBSCS, BCE, BPP, GEA, HIBSCS, IC, SM]	Weak	
GcvA	gcvTHP[gcvTp]	+-	[BCE, BPP, GEA, HIBSCS, SM, IC]	Weak	
GlcC	glcC[glcCp]	-	[BCE, GEA, SM]	Weak	
GlcC	glcDEFGBA[glcDp]	+	[BCE, GEA, SM]	Weak	
GlpR	glpABC[glpABCp]	-	[BPP, HIBSCS, SM]	Strong	
GlpR	glpD[glpDp]	-	[BPP, GEA, HIBSCS, SM]	Strong	
GlpR	glpFKX[glpFp]	-	[BPP, HIBSCS]	Strong	
GlpR	glpTQ[glpTQp]	-	[BPP, GEA, HIBSCS, SM]	Strong	
GlrR	glmY[glmYp1]	+	[BPP, GEA, HIBSCS, SM]	Strong	
GntR	edd-eda[eddp1]	-	[AIBSCS, BPP, HIBSCS, SM]	Weak	
GntR	gntK[gntKp]	-	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
GntR	gntKU[gntKp]	-	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
GntR	gntT[gntTp3]	-	[AIBSCS, BPP, GEA, HIBSCS, TASES]	Weak	
GntR	gntT[gntTp2]	-	[AIBSCS, BPP, GEA, HIBSCS, TASES]	Weak	
GntR	gntT[gntTp1]	-	[AIBSCS, BPP, GEA, HIBSCS, TASES]	Weak	
GntR	gntX-nfuA[gntXp]	-	[AIBSCS]	Weak	
GntR	idnDOTR[idnDp]	-	[AIBSCS, GEA, HIBSCS]	Weak	
GntR	idnK[idnKp]	-	[AIBSCS, GEA, HIBSCS]	Weak	
GutM	srlAEBD-gutM-srlR-gutQ[srlAp]	+	[GEA]	Weak	
GutR	srlAEBD-gutM-srlR-gutQ[]	-	[]	
H-NS	acrEF[acrEp]	-	[GEA]	Weak	
H-NS	adeD[adep]	-	[GEA]	Weak	
H-NS	adiA[adiAp]	-	[GEA]	Weak	
H-NS	adiY[adiYp]	-	[BPP]	Strong	
H-NS	appY[appYp]	-	[BPP, GEA]	Strong	
H-NS	asr[asrp]	-	[GEA, IMP]	Weak	
H-NS	bglG[bglGp]	-	[BPP, GEA]	Strong	
H-NS	bglGFB[bglGp]	-	[BPP, GEA]	Strong	
H-NS	bolA[bolAp1]	-	[GEA]	Weak	
H-NS	cadBA[cadBp]	-	[AIBSCS, BPP, GEA]	Weak	
H-NS	cadC[cadCp]	-	[BPP]	Strong	
H-NS	caiF[caiFp]	-	[GEA]	Weak	
H-NS	caiTABCDE[caiTp]	-	[IMP]	Weak	
H-NS	casABCDE12[casp]	-	[BPP, GEA]	Strong	
H-NS	chiA[chiAp]	-	[BPP, GEA]	Strong	
H-NS	csiD-lhgO-gabDTP[csiDp]	+	[GEA]	Weak	
H-NS	csiE[csiEp]	+	[GEA]	Weak	
H-NS	cspD[cspDp]	+	[GEA]	Weak	
H-NS	cydAB[cydAp3]	-	[BPP, GEA]	Strong	
H-NS	cydAB[cydAp4]	-	[BPP, GEA]	Strong	
H-NS	cydAB[cydAp1]	-	[BPP, GEA]	Strong	
H-NS	cydAB[cydAp2]	-	[BPP, GEA]	Strong	
H-NS	cysPUWAM[cysPp]	-	[GEA]	Weak	
H-NS	degP[degPp]	-	[GEA]	Weak	
H-NS	dps[dpsp]	-	[BPP, GEA, HIBSCS]	Strong	
H-NS	evgAS[evgAp2]	-	[BPP]	Strong	
H-NS	evgAS[evgAp1]	-	[BPP]	Strong	
H-NS	fes-ybdZ-entF-fepE[fesp]	+	[GEA]	Weak	
H-NS	fimAICDFGH[fimAp]	+	[BPP, GEA]	Strong	
H-NS	fimB[fimBp1]	-	[BPP, GEA]	Strong	
H-NS	fimB[fimBp2]	-	[BPP, GEA]	Strong	
H-NS	fimE[fimEp]	-	[BPP, GEA]	Strong	
H-NS	flhDC[flhDp]	+	[BPP, GEA]	Strong	
H-NS	fliAZ-tcyJ[fliAp1]	+	[GEA, IMP]	Weak	
H-NS	fliC[fliCp]	+	[GEA]	Weak	
H-NS	ftnA[ftnAp]	-	[BPP, GEA]	Strong	
H-NS	gadAX[gadAp]	-	[BPP, GEA]	Strong	
H-NS	gadE-mdtEF[gadEp]	-	[BPP]	Strong	
H-NS	gadW[gadWp2]	-	[BPP]	Strong	
H-NS	gadX[gadXp]	-	[BPP, GEA]	Strong	
H-NS	gadXW[gadXp]	-	[BPP, GEA]	Strong	
H-NS	galE[galEp1]	-	[BPP]	Strong	
H-NS	galET[galEp1]	-	[BPP]	Strong	
H-NS	galETK[galEp1]	-	[BPP]	Strong	
H-NS	galETKM[galEp1]	-	[BPP]	Strong	
H-NS	garPLRK-rnpB[garPp]	-	[GEA]	Weak	
H-NS	gspAB[gspAp1]	-	[BPP, GEA]	Strong	
H-NS	gspAB[gspAp2]	-	[BPP, GEA]	Strong	
H-NS	gspCDEFGHIJKLMO[gspCp3]	-	[BPP, GEA]	Strong	
H-NS	gspCDEFGHIJKLMO[gspCp2]	-	[BPP, GEA]	Strong	
H-NS	hchA[hchAp]	-	[BPP, GEA]	Strong	
H-NS	hchA[hchAp2]	-	[BPP, GEA]	Strong	
H-NS	hdeAB-yhiD[hdeAp]	-	[BPP, GEA, HIBSCS]	Strong	
H-NS	hdeD[hdeDp]	-	[BPP, GEA]	Strong	
H-NS	hdfR[hdfRp]	-	[BPP]	Strong	
H-NS	hisJQMP[hisJp]	+	[GEA]	Weak	
H-NS	hlyE[hlyEp]	+-	[BPP, GEA]	Strong	
H-NS	hns[hnsp]	-	[BPP, GEA, HIBSCS]	Strong	
H-NS	ilvIH[ilvIHp1]	-	[GEA]	Weak	
H-NS	lacZYA[lacZp1]	-	[BPP]	Strong	
H-NS	leuO[leuOp]	-	[GEA, HIBSCS]	Weak	
H-NS	leuO[leuOp2]	-	[BPP, GEA, HIBSCS]	Strong	
H-NS	lrp[lrpp]	-	[BPP, GEA]	Strong	
H-NS	micF[micFp]	-	[GEA]	Weak	
H-NS	nhaAR[nhaAp1]	-	[GEA]	Weak	
H-NS	nirBDC-cysG[nirBp]	-	[BPP, GEA]	Strong	
H-NS	nrdAB-yfaE[nrdAp]	-	[BPP, GEA, HIBSCS, SM]	Strong	
H-NS	nrdDG[nrdDp]	-	[BPP, GEA]	Strong	
H-NS	osmC[osmCp1]	-	[GEA]	Weak	
H-NS	osmC[osmCp2]	-	[GEA]	Weak	
H-NS	proVWX[proVp1]	-	[BPP, GEA]	Strong	
H-NS	proVWX[proVp3]	-	[AIBSCS, BPP, GEA]	Weak	
H-NS	rcsA[rcsAp]	-	[GEA]	Weak	
H-NS	rcsDB[rcsDp]	-	[BPP]	Strong	
H-NS	relA-mazEF[relAp2]	+	[GEA]	Weak	
H-NS	rrsB-gltT-rrlB-rrfB[rrsBp1]	-	[BPP]	Strong	
H-NS	rrsC-gltU-rrlC-rrfC[rrsCp1]	-	[GEA]	Weak	
H-NS	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp1]	-	[GEA]	Weak	
H-NS	rrsG-gltW-rrlG-rrfG[rrsGp1]	-	[GEA, TAS]	Weak	
H-NS	rrsH-ileV-alaV-rrlH-rrfH[rrsHp1]	-	[GEA]	Weak	
H-NS	slp-dctR[slpp]	-	[BPP]	Strong	
H-NS	smtA-mukFEB[smtAp]	+	[GEA]	Weak	
H-NS	srlAEBD-gutM-srlR-gutQ[srlAp]	+	[GEA]	Weak	
H-NS	ssrS[ssrSp1]	-	[BPP, GEA]	Strong	
H-NS	ssrS[ssrSp2]	-	[BPP, GEA]	Strong	
H-NS	ssrS-fau[ssrSp1]	-	[BPP, GEA]	Strong	
H-NS	ssrS-fau[ssrSp2]	-	[BPP, GEA]	Strong	
H-NS	stpA[stpAp1]	-	[BCE, BPP, GEA]	Weak	
H-NS	yciG[yciGp]	-	[BPP, GEA, HIBSCS]	Strong	
H-NS	yciGFE[yciGp]	-	[BPP, GEA, HIBSCS]	Strong	
H-NS	ydeO[ydeOp]	-	[BPP]	Strong	
H-NS	ydeP[ydePp]	-	[BPP]	Strong	
H-NS	yhiM[yhiMp]	-	[BPP]	Strong	
H-NS	yjjP[yjjPp]	-	[BPP]	Strong	
H-NS	yjjQ-bglJ[yjjQp]	-	[BPP]	Strong	
HU	galE[galEp1]	-	[BPP, GEA]	Strong	
HU	galE[galEp2]	-	[BPP, GEA]	Strong	
HU	galET[galEp1]	-	[BPP, GEA]	Strong	
HU	galET[galEp2]	-	[BPP, GEA]	Strong	
HU	galETK[galEp1]	-	[BPP, GEA]	Strong	
HU	galETK[galEp2]	-	[BPP, GEA]	Strong	
HU	galETKM[galEp1]	-	[BPP, GEA]	Strong	
HU	galETKM[galEp2]	-	[BPP, GEA]	Strong	
HU	micF[micFp]	+	[GEA]	Weak	
HU	mtr[mtrp2]	-	[GEA]	Weak	
HU	seqA-pgm[seqAp]	-	[GEA]	Weak	
HU	tyrP[tyrPp1]	-	[GEA]	Weak	
HcaR	hcaEFCBD[hcaEp]	+	[AIBSCS, BPP, GEA]	Weak	
HcaR	hcaR[hcaRp]	-	[AIBSCS, BPP, GEA]	Weak	
HdfR	flhDC[flhDp]	-	[BPP, GEA]	Strong	
HdfR	gltBDF[gltBp]	+	[BPP]	Strong	
HipAB	hipBA[hipBp]	-	[BPP, GEA, HIBSCS]	Strong	
HipAB	relA-mazEF[relAp1]	-	[BPP, GEA]	Strong	
HipB	fadH[fadHp]	-	[BPP, GEA, HIBSCS]	Strong	
HipB	hipBA[hipBp]	-	[BPP, GEA, HIBSCS]	Strong	
HipB	relA-mazEF[relAp1]	-	[AIBSCS, BPP, GEA]	Weak	
HyfR	hyfABCDEFGHIJR-focB[hyfAp]	+	[AIBSCS, GEA]	Weak	
HypT	cydAB[cydAp1]	+	[BPP, GEA]	Strong	
HypT	cysH[cysHp]	+	[GEA]	Weak	
HypT	fecABCDE[fecAp]	-	[GEA]	Weak	
HypT	metBL[metBp]	+	[GEA]	Weak	
HypT	metNIQ[metNp]	+	[BPP, GEA]	Strong	
IHF	aceBAK[aceBp]	+	[BPP, GEA]	Strong	
IHF	acs-yjcH-actP[acsp1]	-	[BPP, GEA]	Strong	
IHF	acs-yjcH-actP[acsp2]	-	[AIBSCS, BPP, GEA, SM]	Weak	
IHF	adiA[adiAp]	+	[GEA, SM]	Weak	
IHF	amiA-hemF[amiAp]	-	[HIBSCS]	Weak	
IHF	atoDAEB[atoDp]	+	[GEA, HIBSCS, SM]	Weak	
IHF	carAB[carAp1]	+-	[BCE, BPP, GEA, HIBSCS, SM]	Weak	
IHF	csgDEFG[csgDp1]	+	[BPP, GEA]	Strong	
IHF	cysJIH[cysJp]	+	[BPP, GEA]	Strong	
IHF	dcuD[dcuDp2]	+	[HIBSCS]	Weak	
IHF	dmsABC[dmsAp2]	-	[BPP, GEA, HIBSCS]	Strong	
IHF	dppABCDF[dppAp]	+	[BCE]	Weak	
IHF	dps[dpsp]	+	[HIBSCS]	Weak	
IHF	dusB-fis[dusBp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
IHF	fimAICDFGH[fimAp]	+	[GEA, HIBSCS]	Weak	
IHF	fimB[fimBp2]	+	[BPP, HIBSCS, SM]	Strong	
IHF	flhDC[flhDp]	-	[HIBSCS]	Weak	
IHF	fnr[fnrp]	+	[BPP, GEA, SM]	Strong	
IHF	focA-pflB[focAp1]	+	[BCE, BPP, GEA, HIBSCS, SM]	Weak	
IHF	folA[folAp]	+	[GEA, HIBSCS]	Weak	
IHF	gcd[gcdp1]	+	[GEA, HIBSCS, SM]	Weak	
IHF	glcDEFGBA[glcDp]	+	[BCE, GEA]	Weak	
IHF	glmY[glmYp1]	+	[BPP, GEA, HIBSCS, SM]	Strong	
IHF	glnHPQ[glnHp2]	+	[BPP, HIBSCS, SM]	Strong	
IHF	glpTQ[glpTQp]	-	[BPP, GEA, HIBSCS]	Strong	
IHF	gltA[gltAp1]	+	[AIBSCS, BCE, GEA]	Weak	
IHF	gltBDF[gltBp]	+	[BPP, GEA]	Strong	
IHF	hemA-prfA-prmC[hemAp1]	+	[GEA]	Weak	
IHF	hemF[hemFp]	-	[HIBSCS]	Weak	
IHF	hipBA[hipBp]	+	[HIBSCS]	Weak	
IHF	hpt[hptp]	-	[GEA, HIBSCS, SM]	Weak	
IHF	hycABCDEFGHI[hycAp]	+	[BPP, GEA, HIBSCS]	Strong	
IHF	hypABCDE[hypAp]	+	[BPP, GEA, HIBSCS]	Strong	
IHF	hypABCDE-fhlA[hypAp]	+	[BPP, GEA, HIBSCS]	Strong	
IHF	ibpB[ibpBp]	+	[AIBSCS]	Weak	
IHF	ihfA[ihfAp4]	-	[BPP, HIBSCS]	Strong	
IHF	ihfB[ihfBp]	-	[BPP, GEA]	Strong	
IHF	ilvL[ilvLp1]	-	[BPP, GEA, HIBSCS, SM]	Strong	
IHF	ilvL[ilvLp2]	+	[BPP, GEA, HIBSCS, SM]	Strong	
IHF	ilvLXG_1G_2MEDA[ilvLp1]	-	[BPP, GEA, HIBSCS, SM]	Strong	
IHF	ilvLXG_1G_2MEDA[ilvLp2]	+	[BPP, GEA, HIBSCS, SM]	Strong	
IHF	micF[micFp]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
IHF	mtr[mtrp2]	-	[GEA]	Weak	
IHF	narGHJI[narGp]	+	[BCE, BPP, GEA, HIBSCS]	Weak	
IHF	narK[narKp1]	+	[BPP, GEA]	Strong	
IHF	ndh[ndhp]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
IHF	nirBDC-cysG[nirBp]	+	[BPP, GEA, HIBSCS, BCE]	Strong	
IHF	nmpC[nmpCp]	-	[HIBSCS, SM]	Weak	
IHF	norVW[norVp]	+	[BPP]	Strong	
IHF	nrfABCDEFG[nrfAp]	+	[AIBSCS, BPP, GEA, SM]	Weak	
IHF	nuoABCEFGHIJKLMN[nuoAp2]	-	[BPP, GEA, HIBSCS, SM]	Strong	
IHF	ompC[ompCp1]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
IHF	ompC[ompCp3]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
IHF	ompF[ompFp]	+	[BCE, HIBSCS]	Weak	
IHF	ompR-envZ[ompRp1]	-	[BPP, SM]	Strong	
IHF	osmE[osmEp]	-	[GEA, HIBSCS]	Weak	
IHF	osmY[osmYp]	-	[BCE, BPP, GEA, HIBSCS]	Weak	
IHF	paaABCDEFGHIJK[paaAp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
IHF	paaZ[paaZp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
IHF	patA[patAp]	?	[AIBSCS]	Weak	
IHF	proVWX[proVp3]	+	[BPP, GEA]	Strong	
IHF	pspABCDE[pspAp]	+	[BCE, BPP, GEA, HIBSCS]	Weak	
IHF	pspG[pspGp]	+	[ICA]	Weak	
IHF	pstS[pstSp]	+	[BPP, GEA]	Strong	
IHF	pstSCA[pstSp]	+	[BPP, GEA]	Strong	
IHF	pstSCAB-phoU[pstSp]	+	[BPP, GEA]	Strong	
IHF	rpoH[rpoHp6]	+	[BPP, GEA]	Strong	
IHF	rtcBA[rtcBp]	+	[AIBSCS]	Weak	
IHF	sodA[sodAp]	-	[BPP, HIBSCS]	Strong	
IHF	sodB[sodBp]	-	[AIBSCS, GEA]	Weak	
IHF	sra[srap]	+	[GEA]	Weak	
IHF	ssuEADCB[ssuEp]	+	[BPP, GEA, HIBSCS]	Strong	
IHF	sucAB[sucAp]	-	[AIBSCS, GEA]	Weak	
IHF	sucABCD[sucAp]	-	[AIBSCS, GEA]	Weak	
IHF	sufABCDSE[sufAp]	+	[BPP, SM]	Strong	
IHF	tdcABCDEFG[tdcAp]	+	[BCE, BPP, HIBSCS, SM]	Weak	
IHF	tyrP[tyrPp1]	-	[GEA]	Weak	
IHF	ubiCA[ubiCp]	-	[GEA, HIBSCS]	Weak	
IHF	ulaABCDEF[ulaAp]	-	[BCE, NTAS]	Weak	
IHF	ulaG[ulaGp]	-	[BCE, GEA]	Weak	
IHF	uspA[uspAp1]	+	[GEA, HIBSCS]	Weak	
IHF	uspB[uspBp]	-	[GEA, HIBSCS]	Weak	
IHF	yadV-htrE[yadVp1]	+	[GEA]	Weak	
IHF	yadV-htrE[yadVp2]	+	[GEA]	Weak	
IHF	yadV-htrE[yadVp3]	+	[GEA]	Weak	
IHF	yeiL[yeiLp]	+	[GEA, HIBSCS]	Weak	
IHF	yiaJ[yiaJp]	-	[BPP, HIBSCS]	Strong	
IHF	yiaKLMNO-lyxK-sgbHUE[yiaKp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
IHF	yjbE[yjbEp1]	+	[BPP, HIBSCS]	Strong	
IHF	yjbEFGH[yjbEp1]	+	[BPP, HIBSCS]	Strong	
IclR	aceBAK[aceBp]	-	[BPP, GEA, HIBSCS]	Strong	
IclR	iclR[iclRp]	-	[BPP, GEA, HIBSCS]	Strong	
IdnR	gntK[gntKp]	-	[GEA]	Weak	
IdnR	gntKU[gntKp]	-	[GEA]	Weak	
IdnR	idnDOTR[idnDp]	+	[AIBSCS, GEA]	Weak	
IdnR	idnK[idnKp]	+	[AIBSCS, GEA]	Weak	
IlvY	ilvC[ilvCp]	+	[BCE, BPP, GEA, HIBSCS, IC]	Weak	
IlvY	ilvY[ilvYp]	-	[BCE, BPP, GEA, HIBSCS, IC]	Weak	
IscR	erpA[erpAp]	-	[BPP, GEA]	Strong	
IscR	hyaABCDEF[hyaAp]	-	[BPP, GEA, HIBSCS]	Strong	
IscR	iscRSUA[iscRp]	-	[BPP, GEA, SM]	Strong	
IscR	napFDAGHBC[napFp3]	-	[BPP, GEA]	Strong	
IscR	nfuA[nfuAp1]	-	[BPP, GEA]	Strong	
IscR	nrdHIEF[nrdHp]	+	[GEA]	Weak	
IscR	rnlAB[rnlAp2]	-	[BPP, GEA, HIBSCS]	Strong	
IscR	sufABCDSE[sufAp]	+	[BPP, GEA, HIBSCS, IMP, SM]	Strong	
IscR	ydiU[ydiUp]	+	[BPP, GEA]	Strong	
KdgR	eda[edap1]	-	[BPP, GEA, HIBSCS]	Strong	
KdgR	edd-eda[eddp1]	-	[AIBSCS, HIBSCS]	Weak	
KdpE	kdpFABC[kdpFp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
LacI	lacZYA[lacZp1]	-	[HIBSCS, SM]	Weak	
LeuO	bglG[bglGp]	+	[BPP, GEA, IC]	Strong	
LeuO	bglGFB[bglGp]	+	[BPP, GEA, IC]	Strong	
LeuO	cadC[cadCp]	-	[GEA]	Weak	
LeuO	casABCDE12[casp]	+	[BPP, GEA, IC]	Strong	
LeuO	dsrA[dsrAp]	-	[GEA]	Weak	
LeuO	leuL[leuLp]	+	[GEA]	Weak	
LeuO	leuLABCD[leuLp]	+	[GEA]	Weak	
LeuO	leuO[leuOp]	+	[BPP, GEA, IC]	Strong	
LeuO	leuO[leuOp2]	+-	[BPP, GEA, IC]	Strong	
LeuO	yjjQ-bglJ[yjjQp]	+	[BPP]	Strong	
LexA	cho[chop]	-	[AIBSCS, HIBSCS]	Weak	
LexA	dinB-yafNOP[dinBp]	-	[AIBSCS, HIBSCS, ICWHO]	Weak	
LexA	dinD[dinDp]	-	[AIBSCS, GEA, HIBSCS]	Weak	
LexA	dinG[dinGp]	-	[AIBSCS, BPP, GEA]	Weak	
LexA	dinI[dinIp]	-	[AIBSCS, BPP, GEA, HIBSCS, IHBCE, SM]	Weak	
LexA	dinJ-yafQ[dinJp]	-	[AIBSCS, GEA]	Weak	
LexA	dinQ[dinQp]	-	[AIBSCS, GEA, HIBSCS]	Weak	
LexA	ftsK[ftsKp1]	-	[AIBSCS, BPP, GEA]	Weak	
LexA	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC[ftsLp2]	-	[HIBSCS]	Weak	
LexA	hokE[hokEp]	-	[AIBSCS]	Weak	
LexA	insK[insKp]	-	[AIBSCS, GEA]	Weak	
LexA	lexA-dinF[lexAp]	-	[BPP, HIBSCS]	Strong	
LexA	molR_1[molR_1p]	-	[AIBSCS]	Weak	
LexA	phr[phrBp]	-	[GEA, HIBSCS]	Weak	
LexA	polB[polBp]	-	[AIBSCS, BPP, GEA]	Weak	
LexA	ptrA[ptrAp]	-	[BPP, SM]	Strong	
LexA	ptrA-recBD[ptrAp]	-	[BPP, SM]	Strong	
LexA	recA[recAp]	-	[BPP]	Strong	
LexA	recAX[recAp]	-	[BPP]	Strong	
LexA	recN[recNp]	-	[AIBSCS, BPP]	Weak	
LexA	rpsU-dnaG-rpoD[rpsUp3]	-	[BCE, SM]	Weak	
LexA	ruvAB[ruvAp2]	-	[BPP, HIBSCS]	Strong	
LexA	ruvAB[ruvAp1]	-	[BPP, HIBSCS]	Strong	
LexA	sbmC[sbmCp2]	-	[GEA, IHBCE]	Weak	
LexA	ssb[ssbp3]	-	[BCE, HIBSCS]	Weak	
LexA	sulA[sulAp]	-	[BCE]	Weak	
LexA	symE[symEp]	-	[AIBSCS, BPP]	Weak	
LexA	tisB[tisBp]	-	[GEA, ICA]	Weak	
LexA	umuDC[umuDp]	-	[BPP, HIBSCS]	Strong	
LexA	uvrA[uvrAp]	-	[BCE, HIBSCS]	Weak	
LexA	uvrB[uvrBp2]	-	[BPP, HIBSCS]	Strong	
LexA	uvrC[uvrCp3]	-	[GEA]	Weak	
LexA	uvrD[uvrDp1]	-	[HIBSCS]	Weak	
LexA	uvrYC[uvrYp2]	-	[AIBSCS, GEA]	Weak	
LexA	yafNOP[yafNp]	-	[HIBSCS]	Weak	
LexA	ybfE[ybfEp]	-	[AIBSCS]	Weak	
LexA	ydjM[ydjMp]	-	[AIBSCS, BPP, GEA]	Weak	
LexA	yebG[yebGp]	-	[AIBSCS, GEA, HIBSCS, IHBCE]	Weak	
LldR	lldPRD[lldPp]	+	[AIBSCS, BPP, GEA, SM, HIBSCS]	Weak	
LrhA	fimE[fimEp]	+	[BPP, GEA]	Strong	
LrhA	flhDC[flhDp]	-	[BPP, GEA]	Strong	
LrhA	lrhA[lrhAp]	+	[BPP, GEA]	Strong	
Lrp	adhE[adhEp1]	-	[AIBSCS, GEA]	Weak	
Lrp	aidB[aidBp]	-	[BPP, HIBSCS]	Strong	
Lrp	alaA[alaAp9]	-	[GEA]	Weak	
Lrp	argO[argOp]	+	[BPP, GEA, HIBSCS]	Strong	
Lrp	avtA[avtAp]	-	[GEA]	Weak	
Lrp	cadBA[cadBp]	+	[BPP, GEA]	Strong	
Lrp	csiD-lhgO-gabDTP[csiDp]	+	[BPP, GEA]	Strong	
